account,classification,trades,total_pnl,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,100,124769.221441,37.0
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,945,-40282.335904,6.67
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1778,1113373.547515,52.64
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,574,276719.270187,16.03
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421,125650.11674,58.19
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,170,-4235.153050999999,30.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,825,35658.894935000004,57.7
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2622,-1658.7368009999998,47.83
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2943,30053.395556,40.16
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,720,-11933.080125,36.11
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,797,16706.884912,37.64
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,5,1793.1602149999999,80.0
0x271b280974205ca63b716753467d5a371de622ab,Fear,1868,30121.91049,38.22
0x271b280974205ca63b716753467d5a371de622ab,Greed,540,-100019.806374,24.44
0x271b280974205ca63b716753467d5a371de622ab,Neutral,599,-19038.340561,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,574,-25666.012284,28.75
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,7481,108009.960644,44.45
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1399,13422.524859,43.03
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,2970,31192.591971,44.85
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,887,5505.749364,46.67
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,112,11415.247787,68.75
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,1478,90895.05041,48.78
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,381,3979.190772,43.31
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,253,20075.672949,54.15
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,1015,42292.843076,57.54
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,263,-56967.825773000004,11.03
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,161,30992.181771,45.96
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,256,-467.058896,67.97
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,102,-3531.989984,72.55
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,33,-1228.907104,60.61
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,1668,-76179.494853,30.22
