date,daily_pnl,daily_volume_usd,sentiment_value
2023-05-01,0.0,477.0,63.0
2023-12-05,0.0,50005.83,75.0
2023-12-14,-205.43473700000007,113203.35,72.0
2023-12-15,-24.632033999999997,10609.95,70.0
2023-12-16,0.0,15348.77,67.0
2023-12-17,304.982785,116278.02,73.0
2023-12-18,0.0,31164.179999999997,65.0
2023-12-19,1000.5386120000001,91602.41,73.0
2023-12-20,162.732282,141636.79,74.0
2023-12-21,537.211402,125233.97,70.0
2023-12-22,141.832675,88874.28,74.0
2023-12-23,146.936704,78438.25,70.0
2023-12-24,1008.619956,402954.94,71.0
2023-12-25,-245.081348,59948.51,73.0
2023-12-27,-704.8892269999999,171411.06,73.0
2023-12-28,-970.730876,100117.25,73.0
2023-12-29,508.92214299999995,569559.72,65.0
2023-12-30,354.998648,702550.21,68.0
2024-01-01,-129.53146,264239.52999999997,65.0
2024-01-02,783.979116,121348.74,71.0
2024-01-03,866.015507,394499.36,70.0
2024-01-04,-67.60364,99792.54000000001,68.0
2024-01-05,164.141565,1703942.66,72.0
2024-01-06,135.58166400000002,298521.4,70.0
2024-01-07,-835.681235,1048850.06,71.0
2024-01-08,-269.874439,1522452.43,71.0
2024-01-09,-826.349863,870051.97,76.0
2024-01-10,-1517.091342,2057479.48,73.0
2024-01-11,-164.08950099999998,305314.1,76.0
2024-01-12,-1925.519024,200082.27,71.0
2024-01-15,152.85358,50636.1,52.0
2024-01-16,-2299.171458,116427.33,64.0
2024-01-17,813.2741110000001,800831.03,60.0
2024-01-18,68.93319,424631.52999999997,63.0
2024-01-19,-385.419235,428428.97,51.0
2024-01-20,-146.57487000000003,1070090.51,52.0
2024-01-21,266.58114600000005,103129.74,56.0
2024-01-22,1375.640959,337878.99,55.0
2024-01-23,-369.2447299999998,414518.93000000005,50.0
2024-01-24,-2808.353815,965084.59,48.0
2024-01-25,-3093.6293849999997,66566.13,52.0
2024-01-26,90.2,11773.21,49.0
2024-01-28,-2478.06972,18109.03,54.0
2024-01-29,486.562542,414208.18,55.0
2024-01-30,-173.65419100000003,401011.38,61.0
2024-01-31,-799.840817,6305647.13,60.0
2024-02-01,0.0,2008.18,63.0
2024-02-02,456.423473,474278.43,63.0
2024-02-03,223.30918699999998,603820.0,60.0
2024-02-04,47.62389499999999,203187.53,60.0
2024-02-05,-33.45419400000003,770198.26,60.0
2024-02-06,-215.615907,8047153.41,64.0
2024-02-07,241.24212,6758.73,62.0
2024-02-08,770.756024,26051.12,66.0
2024-02-11,983.443176,212311.82,71.0
2024-02-12,913.8817869999998,227247.69999999998,70.0
2024-02-13,559.44389,1999.99,79.0
2024-02-14,3830.599833,320839.88,74.0
2024-02-15,1840.797677,185188.04,72.0
2024-02-16,5491.768834,564896.51,72.0
2024-02-17,1929.6418,406118.07,76.0
2024-02-18,477.6248299999999,157048.17,72.0
2024-02-19,4317.768563,286377.2,75.0
2024-02-20,3263.628824,119419.72,72.0
2024-02-21,1858.7985700000002,108047.51999999999,78.0
2024-02-22,3894.1050699999996,373033.87,74.0
2024-02-23,1418.55293,111106.14,76.0
2024-02-25,-30.7705,4480.13,74.0
2024-02-26,4416.8473,192187.14,72.0
2024-02-27,888.511733,209362.3,79.0
2024-02-28,2503.747235,171107.13,82.0
2024-02-29,9813.996992,395666.73,80.0
2024-03-01,8244.241409,472974.7,80.0
2024-03-02,230.90060000000005,63197.56,80.0
2024-03-03,8361.086245,390745.68,83.0
2024-03-04,27799.775742,1577996.87,82.0
2024-03-05,19791.026041,841810.32,90.0
2024-03-06,6814.825139,327218.02,75.0
2024-03-08,4271.886236,183583.18,81.0
2024-03-09,9949.501624,658178.75,84.0
2024-03-10,2482.9272,219973.85,79.0
2024-03-11,3588.179495,176519.44999999998,82.0
2024-03-12,3039.166,103040.85,81.0
2024-03-13,0.0,6000.799999999999,81.0
2024-03-14,3465.865832,205933.18,88.0
2024-03-15,6236.513651,351894.41,83.0
2024-03-16,228.57984,37223.66,81.0
2024-03-17,503.293955,99506.95,79.0
2024-03-18,1456.9577,90458.08,77.0
2024-03-19,668.797973,219884.84,79.0
2024-03-20,6423.134599,215705.85,74.0
2024-03-21,2335.5080749999997,117895.57,78.0
2024-03-24,1297.018477,92592.20999999999,74.0
2024-03-25,1302.916428,57116.32,75.0
2024-03-26,3215.906593,198565.19,81.0
2024-03-27,150.41114,99864.79,83.0
